0	90	291.2	40.7	0
5	87.5	288	43.9	3.2
10	85	285.4	46.5	5.8
15	82.5	282.7	49.2	8.5
20	80	279.4	52.5	11.8
25	77.5	276.5	55.4	14.7
30	75	273.5	58.4	17.7
35	72.5	270.3	61.6	20.9
40	70	266.3	65.6	24.9
45	67.5	264.5	67.4	26.7
50	65	261.6	70.3	29.6
55	62.5	258.1	73.8	33.1
60	60	254.3	77.6	36.9
65	57.5	250.9	81	40.3
70	55	247.7	84.2	43.5
75	52.5	244.4	87.5	46.8
80	50	240.9	91	50.3
85	47.5	238.5	93.4	52.7
90	45	235.9	96	55.3
